plateifu	first_data	vlass_data	mangaid	objra	objdec	z_1	ra	dec	z_2	flux	lum	Mr01	NYU_mstar	is_agn	selection	ref	GAU	ELPETRO_TH50_R
8479-12705	1	1	Feb-50	194.898779	27.959268	-999	194.8987896	27.95926336	0.0239263	205.9	23.427	-21.650696	10.88365455	1	1	L10	0	22.720497
8479-9101	1	1	Jun-50	194.351506	27.497818	-999	194.3515114	27.49781402	0.0244748	74.3	23.004	-21.542675	10.87615995	1	0	L10	0	12.629387
8481-3702	1	1	1-91582	239.339148	54.67107331	0.0469388	239.3391706	54.67117737	0.0469757	159.6	23.915	-21.690746	10.93077513	1	1	L10	1	7.696423
8482-12704	1	1	1-92866	243.5818213	50.46561066	0.0602584	243.5818185	50.46568808	0.0602601	85.1	23.865	-21.64265	10.90995914	1	1	L10	1	9.67124
8482-3704	1	1	1-93612	245.4124015	49.44884262	0.0323949	245.4123843	49.44890533	0.0324025	4.4	22.024	-20.960161	10.56848691	0	0	L10	1	6.0571313
8488-12703	1	1	1-209474	236.6528274	46.53298272	0.0652604	236.6528261	46.53301464	0.0652789	4.2	22.631	-21.646173	10.90392494	1	0	L10	0	13.256976
8488-6102	1	1	1-247600	234.7913478	46.39771316	0.149179	234.791315	46.39769694	0.1492004	7.9	23.665	-22.30584	11.16266551	1	1	L10	0	6.7867928
8546-1902	1	1	1-633381	238.7954733	52.16847995	0.0371798	238.7954712	52.16856071	0.0371647	9.5	22.481	-20.678097	10.12086105	0	0	L10	0	5.8127456
8547-12701	1	1	1-593159	217.6299707	52.70715903	0.0448811	217.6299416	52.70725222	0.0447846	5.2	22.385	-21.105106	10.6591222	0	0	L10	1	6.036082
8550-12705	1	1	1-135468	249.1356952	39.02788001	0.029986	249.1356964	39.02787392	0.029985	5.8	22.076	-21.402517	10.79240131	0	0	L10	1	16.802143
8553-6102	1	1	1-90192	233.7126036	56.45107857	0.0394443	233.7126697	56.45114147	0.0394463	7.7	22.442	-21.236147	10.7678203	0	0	L10	1	6.2054505
8554-6102	1	1	1-414400	182.7844658	35.33300699	0.136377	182.7845159	35.33300532	0.1363731	74.4	24.555	-22.43083	11.22136254	1	1	L10	1	5.3514695
8554-6103	1	1	1-419288	183.9973774	35.7173746	0.133345	183.9973754	35.7173765	0.1333323	53.7	24.392	-22.244736	11.16612922	1	1	L10	1	6.22415
8555-12704	1	1	1-134884	245.1943777	43.15320775	0.13407	245.1943893	43.15320156	0.1340849	40.7	24.277	-22.336658	11.17841509	1	1	L10	1	7.112466
8555-6103	1	1	1-93872	247.0971423	43.95761261	0.139743	247.0971109	43.95760372	0.1397462	25.9	24.119	-22.221169	11.13164338	1	1	L10	1	6.6292934
8561-9101	1	1	1-91394	238.6899852	53.14469779	0.0686828	238.6899541	53.14477384	0.0686906	3.3	22.572	-21.86807	10.71231996	0	0	L10	0	7.786941
8562-6101	1	1	Feb-31	244.3958435	50.24455643	0.0416875	244.39584	50.24456	0.04169	8.7	22.5446	-20.45337	10.05432896	0	0	B12	0	4.380789
8563-9101	1	1	1-91858	241.2627682	50.83144709	0.110809	241.2627627	50.8315321	0.1108114	4.4	23.134	-21.575592	10.87098871	1	0	L10	0	6.229238
8566-12701	1	1	1-43188	114.8809845	39.78890556	0.0976584	114.8809756	39.78888728	0.0976453	83.5	24.296	-21.197462	10.73376998	1	1	L10	1	7.7461376
8566-12704	1	1	1-43311	115.6699368	40.92943309	0.0416199	115.6699182	40.9294438	0.041595	3.4	22.135	-20.820307	10.19939985	0	0	L10	1	6.8574967
8566-9101	1	1	1-338559	113.9819924	42.20336206	0.0882197	113.9819821	42.20335267	0.0882428	18.5	23.548	-21.879108	11.00986913	1	1	L10	1	3.6242115
8568-1901	1	1	1-273933	154.4924319	37.1815832	0.0441818	154.4924348	37.18156747	0.044196	4.8	22.338	-21.298664	10.74859441	0	0	L10	1	7.807817
8568-9101	1	1	1-392067	155.5807611	36.58303785	0.0259165	155.5807769	36.58302772	0.0259175	13.4	22.311	-20.620813	10.49467238	0	0	L10	1	8.158225
8570-9102	1	1	1-41350	22.66082848	13.21282819	0.0721744	22.66083891	13.21284082	0.072181	16	23.302	-21.628029	10.71470353	0	0	L10	0	6.157247
8588-6101	1	1	1-135517	248.4567558	39.26320543	0.0317611	248.4567321	39.26320801	0.0317612	9.4	22.336	-21.01841	10.51195042	0	0	L10	1	5.7675457
8591-6102	1	0	1-197063	212.9559958	52.81671266	0.076489	212.9559848	52.81679012	0.076504	846.8	25.079	-22.089193	11.08112182	1	1	L10	1	5.0733123
8592-12703	1	1	1-207943	222.5007653	54.08451091	0.141382	222.5007857	54.08456831	0.1413661	114.1	24.774	-21.926012	10.99826248	1	1	L10	1	5.2297864
8593-3704	1	1	1-208258	225.6210407	52.73391379	0.133075	225.6210159	52.73398287	0.1330783	205.2	24.972	-22.549786	11.26495819	1	1	L10	0	3.6118908
8593-6102	1	1	1-208254	225.2643702	51.96706475	0.132097	225.264396	51.96713539	0.1320907	11.3	23.706	-21.895557	11.00314508	1	1	L10	0	7.333704
8595-3703	1	1	1-631278	221.4379842	51.58081965	0.0296268	221.4379869	51.58088163	0.0296104	11.5	22.362	-21.018461	10.53848519	0	0	L10	1	4.97532
8596-6102	1	1	1-208905	229.4972252	49.67725051	0.0614902	229.4971907	49.67722467	0.0614789	3.8	22.533	-20.756552	10.22358372	0	0	L10	0	6.6985164
8596-6104	1	1	1-632632	231.2125613	50.31513633	0.0373979	231.2125816	50.31519104	0.0373996	5.3	22.233	-20.57045	10.40926425	0	0	L10	0	5.0668955
8597-3701	1	1	1-197867	224.8355317	47.56705121	0.124553	224.8355293	47.56705604	0.1245406	3.9	23.19	-21.805689	10.96947358	1	0	L10	1	4.940483
8597-3703	1	1	1-198182	224.7496469	48.40985542	0.0358627	224.7496535	48.40984602	0.0358818	4.5	22.125	-21.092262	10.68721905	0	0	L10	1	3.3056636
8598-6101	1	1	1-246809	230.3624969	48.66202291	0.0741595	230.3624885	48.66204242	0.0741701	69.5	23.965	-21.028996	10.6778395	1	1	L10	0	4.122897
8598-9101	1	1	1-247055	229.6539857	49.18059107	0.123702	229.6539556	49.18058047	0.1236907	14.2	23.744	-21.651974	10.9024334	1	1	L10	0	9.357716
8600-12703	1	1	1-210614	244.5017564	41.39219002	0.061189	244.5017686	41.39220526	0.0611994	3.8	22.529	-21.597918	10.8758332	0	0	L10	1	7.023719
8600-9101	1	1	1-569162	244.1576375	42.4488084	0.13676	244.1576629	42.44877429	0.1382099	170.9	24.928	-21.815521	10.95975972	0	0	L10	1	18.233788
