plateifu "count in aperture" distance(kpc) "nth distance" "nth redsuift difference"
1230 3 "[214.65363980063228, 0.0832774648665825, 146.6159733617344]" "[0.0832774648665825, 146.6159733617344, 214.65363980063228, 942.3293570032461, 972.0822448675706, 2736.892652557702, 2841.1165535226983]" "[8.267782380289695e-05, -403.4534187192941, -127.74779612991462, -927.8388834767738, 711.4351293956314, 610.4215425720488, 6.345819458422562]"
1231 5 "[153.4146144194803, 0.16871669395514508, 102.31572139005888, 61.108489874328235, 224.6894826734373]" "[0.16871669395514508, 61.108489874328235, 102.31572139005888, 153.4146144194803, 224.6894826734373, 318.7945559054997, 349.6254712803005]" "[18.371661341415297, 322.3684145408138, 22.327416300387632, -762.5091095036701, -232.52058923259233, 233.54820226326729, 7.210508133356518e-05]"
1260 2 "[293.1289670866045, 0.27621683647270723]" "[0.27621683647270723, 293.1289670866045, 352.8343345319867, 438.01089028967243, 446.4116373849125, 480.2938532392652, 494.252112862284]" "[-0.0006152547619186594, -211.22140121764156, -215.1771561766139, -996.0579270216992, -366.47640725279064, -233.54874541294785, 88.8195970227846]"
1302 1 [0.2578928205803901] "[0.2578928205803901, 1502.5130258242907, 2227.267952113402, 2968.6358808519417, 3316.1188074892516, 3516.2937081128057, 3901.63798860942]" "[-12.820965950550631, 130.41712214034598, 220.07047761365573, -376.14287539518074, 212.03835179069438, 211.75691467898884, 5.8027146263478934e-05]"
1366 1 [0.147820937355972] "[0.147820937355972, 877.684015151756, 2015.7129117943377, 2057.4800114364316, 2186.845239099542, 2241.160380630303, 2408.126242896024]" "[-47.87480986254361, -225.22039553870704, -232.274192354311, 239.45461216584894, -266.9981712318852, 44.46783356706354, 169.1601094477132]"
1372 1 [0.07742253404454949] "[0.07742253404454949, 948.1101142247182, 948.7508519692127, 1106.3621553500413, 1397.9302604396541, 1409.039560614902, 1565.7347595287745]" "[569.3449794939859, -357.563680652474, -775.4419508384362, 274.0147024328216, 119.57050331472892, -210.41897741575997, -6.385845404054687e-05]"
1377 2 "[49.21384644412778, 0.09636675229629169]" "[0.09636675229629169, 49.21384644412778, 2627.0330282187297, 3333.1736133825366, 3402.30621898319, 3671.5240766656307, 3856.7815545149288]" "[-187.04892351971114, -175.30897543142282, -59.57131368432486, 558.4199110636309, -0.0004583733185555662, -900.123453094597, 586.0967940092132]"
1395 1 [0.32677030712119715] "[0.32677030712119715, 1303.5355149618947, 2276.4503625939924, 2831.5815189311747, 9451.61443827499, 11980.504534615407, 12241.872409030511]" "[646.4828572661279, 699.9291049557327, 587.5597540376185, -0.000524600207932064, 17.721078925758473, 398.0989707908927, -26.67897588759673]"
1410 3 "[0.29276312556219797, 290.98955512491807, 281.4833431423091]" "[0.29276312556219797, 281.4833431423091, 290.98955512491807, 549.013932899991, 770.1032149525734, 865.871130350984, 1027.6446395459714]" "[-955.8230203422062, 210.41886614749805, -4.740980786501289e-05, 864.7110110497273, -837.9544776064805, 329.98943332068103, -291.2293837004058]"
1420 2 "[293.6068264489868, 0.07454004266044356]" "[0.07454004266044356, 293.6068264489868, 301.1342802784554, 511.44941944972214, 775.7803620254778, 877.0415480054046, 1176.4903432939593]" "[-329.98940053431477, -38.945455356983196, -477.1341037710287, -119.57048697700883, 109.00782116891656, 8.019617413504922e-05, -348.81218260052583]"
1438 2 "[277.6334853023208, 0.055569245296406396]" "[0.055569245296406396, 277.6334853023208, 500.0978575601788, 578.0287375970591, 661.645356315791, 707.3474153060613, 768.0281237535398]" "[775.4419088345129, -272.9314349194657, 273.79365898660905, 565.022995277207, 895.0124760076958, -605.7084832325618, -390.7999776551913]"
1459 1 [0.06138670390312484] "[0.06138670390312484, 2107.1594553873256, 3269.5928495800804, 6214.87418875161, 6268.059522951035, 6334.445209882465, 6471.096296460543]" "[-462.59100538463395, 217.0617503612836, 979.6245390389313, 513.3949263363828, 476.9622221377392, -160.8747862411986, 2.7516578613458825e-05]"
1503 2 "[245.62526599771857, 0.185255679467163]" "[0.185255679467163, 245.62526599771857, 438.5495170325224, 466.71621550422486, 487.595339906793, 548.2148857605742, 656.920354664256]" "[49.812263222303805, -599.4207145528378, 143.45934532838743, 15.329516154762922, 134.70352407532613, 72.88787275428754, 433.37530843102616]"
1506 1 [0.3067214171488958] "[0.3067214171488958, 595.5183997319718, 923.4925539266251, 1209.9431640031064, 1389.8404444988391, 1590.468605964989, 1707.7162648175063]" "[-217.41265483965108, -129.65341580067704, -751.0754929579956, -0.0002524192495096641, -397.4006222868276, 172.0404670640515, 713.0988470622138]"
1523 3 "[0.21773687788967044, 41.13497767503282, 285.10189294469575]" "[0.21773687788967044, 41.13497767503282, 285.10189294469575, 338.49945230923936, 693.6483397933624, 751.9854172742737, 782.6929571941988]" "[-6.700568931777726e-05, -123.15113965557056, -397.8717323539807, 45.74686541368526, 212.42911163522763, -284.3029232693119, 146.99945041943056]"
1549 2 "[232.14891441654294, 0.1682359135405821]" "[0.1682359135405821, 232.14891441654294, 310.6912620609661, 390.5272525713272, 856.379592711032, 940.2136788475152, 941.6339826554904]" "[-417.8776874270919, -808.6776869368139, -690.8091442010883, 631.5789658441659, 926.9092429053303, -155.78155945375894, -812.2135198560986]"
