plateifu,mangaid,stellarmass_1re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
8447-6104,1-456821,9.515539711,nan,1.498636007,3.224297523,nan,9.096536333,39.73174115,1.513118982,3.432881117,0.432068752,8.716592965,39.36717524,1.516002059,3.644972324,0.179027977
8447-1901,1-456309,9.195621351,38.18498825,1.484063864,3.893728256,0.000628783,8.780790913,37.71931898,1.47358942,3.567714691,0.000220453,8.410666197,37.10578163,1.493997574,2.660998344,0.000118592
8447-3701,1-455684,10.07733895,39.22100858,1.551242352,3.314424992,0.128047232,9.649231573,38.78412346,1.554521561,3.333696127,0.061181365,9.032567015,38.19815812,1.557106972,3.288105726,0.01753279
8486-3701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
8486-12705,1-455685,9.932235263,39.47873595,1.778816223,0.139853492,0.005253622,9.677968902,39.21770477,1.786615968,-0.06340652,0.002314375,9.394514595,38.92814981,1.847916484,0.009493994,0.000786511
8486-12704,1-456526,9.203328766,38.45037518,1.633538842,2.594661713,0.001286726,8.930823369,37.96100662,1.614991903,1.458408594,0.000461358,8.639605439,37.57602456,1.628558636,1.265894294,0.000268777
8486-9101,1-591183,10.33758585,38.82723148,1.939923167,-1.728749871,0.003295103,10.08554475,38.53724421,1.936143517,-1.855901718,0.002120573,9.803028049,38.12970264,1.953607559,-1.887459159,0.001140006
8486-6101,1-456631,9.147323128,38.77145029,1.735420942,0.213811591,0.002710217,8.733122552,38.33132349,1.703268886,-0.056747362,0.000761551,8.376169889,38.09669816,1.699218392,-0.1453273,0.000203646
8486-12703,1-404231,9.400373263,38.85683156,1.287059307,4.967719078,0.060447513,8.973885245,38.42482791,1.28920567,4.632441521,0.024951473,8.628108256,38.03452213,1.291880488,4.520457268,0.011011965
8486-12702,1-456381,9.749140951,38.61518521,1.838269591,-1.0605762,0.002582996,9.363431178,38.23413679,1.88476336,-1.223923087,0.001186895,9.020696948,37.89820297,1.89324379,-1.387582302,0.000642841
8486-1901,1-456371,9.521001584,37.95633169,1.791044235,-0.23174265,0.000648584,9.169668454,37.72755911,1.78624022,-1.041213632,0.000241147,8.70750866,37.38808363,1.807760477,-1.361101508,7.49E-05
8486-1902,1-622911,10.30430656,39.71098551,1.321717978,4.942094803,0.256081582,9.938061702,39.09961469,1.426594377,3.834193945,0.078400633,9.724298514,38.92611868,1.385643125,4.030435085,0.061454501
8486-6103,1-591068,9.581603483,38.13113758,1.829916477,-0.83381927,0.00023752,9.188102013,37.61772323,1.839299321,-0.889557064,2.24E-05,8.826207857,37.36831063,1.843999982,-0.919353545,2.66E-06
8486-12701,1-455633,10.08115403,nan,1.541971445,3.565771103,nan,9.882830021,nan,1.537559748,4.003676414,nan,9.684516285,nan,1.509493709,4.74383831,nan
8486-6102,1-455661,10.08637861,39.14803176,1.267344832,6.115879536,0.063105269,9.760582644,38.62030851,1.284350395,5.374238968,0.028566833,9.445926915,38.19576859,1.309588552,5.129430294,0.013758165
8486-3702,1-456935,9.554321958,38.61761539,1.620020509,2.033663273,0.002692063,9.215737266,38.13794955,1.632556796,1.61159122,0.000620118,8.872090475,37.62939529,1.639536977,1.557588696,0.000384492
8486-3703,1-456355,9.585814671,38.19453233,1.674598932,0.671456158,0.004130245,9.175063102,37.85335315,1.618190527,0.926461756,0.002384526,8.822418884,37.5734615,1.632864594,1.004863858,0.001272304
8486-9102,1-456434,9.257822117,37.9232968,1.557306767,2.175443411,0.000288585,8.880469203,37.69398123,1.559092045,1.99729526,6.81E-05,8.530848786,37.4340892,1.581744313,1.980797291,4.33E-05
8486-3704,1-456693,9.260879763,nan,1.662107944,1.882286072,nan,8.8995338,39.46623119,1.674032569,1.410084367,0.007738635,8.601732093,39.05730998,1.687447786,1.609841466,0.003096325
8486-6104,1-456341,10.28372379,nan,1.856126904,-0.730779946,nan,10.04607973,nan,1.891898394,-0.977493405,0.001073926,9.796352244,37.8457027,1.926296234,-1.289513826,0.000719748
8318-12701,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
