MANGAID,plateifu,identified_mangaid,stellarmass_1.0re,o3_lum_1re,dn4000_specindex_1re,hd_specindex_1re,sfr_1re,stellarmass_0.5re,o3_lum_0.5re,dn4000_specindex_0.5re,hd_specindex_0.5re,sfr_0.5re,stellarmass_0.3re,o3_lum_0.3re,dn4000_specindex_0.3re,hd_specindex_0.3re,sfr_0.3re
1-61134,11865-6104,1-61134,10.37164977,38.6496707,1.483873963,2.847562313,0.037716039,10.02130297,38.22610509,1.505839586,1.937826753,0.013678092,9.639958866,37.82915672,1.515295386,1.581359148,0.005081335
1-61136,11865-12704,1-61136,10.64137215,39.71836946,1.378524899,3.779782057,0.465502489,10.35762732,39.2984698,1.486288309,2.035421133,0.128526822,10.1100409,38.98866882,1.604622841,1.40344727,0.04422287
1-61142,11865-6102,1-61142,10.17041078,39.78743505,1.484369278,5.191232681,0.313521027,10.05981018,39.63771094,1.385003805,5.906124592,0.289598139,9.899836005,39.44015722,1.350054026,5.938988209,0.239490382
1-61147,11865-9102,1-61147,10.38716878,40.8768694,1.233197927,6.026475906,3.217274829,10.14087963,40.16295862,1.255134225,5.32141161,1.156571018,9.9066353,39.76803351,1.267086625,5.139130592,0.580451002
1-61173,11838-3703,1-61173,11.40518491,39.37427668,1.999859214,-1.877867818,0.00891566,11.17331524,39.28385434,2.03581953,-2.404595613,0.006895272,10.95782659,39.18183793,2.053336382,-2.835251093,0.005861762
1-61173,11865-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-611836,8254-3704,1-611836,10.79494194,nan,1.432815909,3.126193285,nan,10.52745172,39.39118357,1.690074921,0.557460606,0.067372709,10.28825068,39.12959278,1.809291124,-0.504101753,0.018515127
1-612080,8993-12701,1-612080,10.89591634,nan,1.604848266,2.159783125,1.639733682,10.73559811,40.40754705,1.774383307,0.508228958,0.463178346,10.52810184,40.19630274,1.893130183,-0.744536221,0.171470047
1-61237,11865-12701,1-61237,10.71770019,39.89736333,1.389335275,3.374575138,0.597997697,10.3897127,39.52409513,1.498826623,1.875262022,0.178539274,10.09978551,39.27774725,1.542610168,1.502399802,0.080285252
1-612565,8948-3701,1-612565,9.100319968,39.78511325,1.293068767,5.460243225,0.096129954,8.667767769,39.19686701,1.297976494,5.201068401,0.027401034,8.286286923,38.75233117,1.298233151,5.06194067,0.010356012
1-612698,12491-6104,1-612698,10.97970284,40.05918878,1.878261805,0.157439768,0.132792403,10.77590933,39.82946641,1.992649794,-0.744939923,0.081347982,10.51820004,39.56471821,2.020897865,-1.165718436,0.045648281
1-612718,9001-12702,1-612718,10.40398046,39.95654707,1.367141247,6.069288254,0.488126069,10.03208082,39.54938242,1.364804506,6.132799625,0.211496206,9.649479689,39.12922137,1.352248549,6.066243172,0.083058426
1-61276,11865-12703,1-61276,9.772190733,39.87992409,1.247635007,5.871172905,0.137575728,9.313495242,39.17265001,1.277291059,5.718912125,0.036345945,8.857747788,38.57851834,1.280889273,5.512239456,0.010630638
1-613211,8449-6103,1-613211,11.13627065,40.04749787,2.062321186,-2.448929787,0.103963685,10.8225029,39.75517859,2.056946039,-2.552237749,0.055576734,10.50205132,39.46023361,2.056666613,-2.600124598,0.028744252
1-613340,8449-12703,1-613340,9.951277909,nan,1.35236609,5.446051598,nan,9.638136292,nan,1.378684282,5.005429268,nan,9.319883916,39.26874193,1.395995498,4.640492916,0.069324544
1-613473,10509-12703,1-613473,10.47583975,41.03657571,1.494552612,3.520299911,24.35079767,10.32714945,41.12211606,1.572478294,2.507559299,7.785740784,10.12277861,40.88821693,1.620884895,1.991178274,4.486140071
1-613755,8946-1902,1-613755,11.14652988,39.80194763,1.870672107,-1.174915314,0.026872324,10.88901469,39.52681159,1.893767118,-1.126205683,0.012770827,10.59996786,39.22086249,1.894134879,-0.992948711,0.00434176
1-613769,8449-12705,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-613799,8946-12701,1-613799,11.30612816,40.52583294,1.889250755,-0.357073158,0.247779902,11.09707302,40.3144276,1.919123411,-1.761510491,0.11012148,10.92167218,40.19498936,1.934900284,-2.039305925,0.063794941
1-613941,12490-3703,1-613941,10.41278253,39.72639108,1.234373689,4.330023766,0.235335012,10.12707443,39.49875774,1.142466426,4.177915096,0.141814978,9.776819731,39.1929754,1.125887036,4.195271492,0.070609774
1-613949,8946-12702,1-613949,11.12822979,40.2775364,1.799107313,-0.268118232,0.160126733,10.90852323,40.06642222,1.891823292,-1.201340199,0.0790673,10.69000559,39.8924999,1.922228217,-1.42855823,0.052538876
1-614392,9000-12702,1-614392,10.29806311,39.61739069,1.365614414,5.252597809,0.196621668,9.966401934,38.98400689,1.441747189,4.294093609,0.06595664,9.684158953,38.61638665,1.46478498,4.117776871,0.033777143
1-614456,8947-12701,1-614456,11.28391589,40.93830561,1.666027427,0.689201593,3.567315704,10.98287616,40.59727316,1.792343378,-1.025204182,1.235682878,10.68957535,40.32067252,1.848587394,-1.502725363,0.566498821
1-61450,10837-3702,1-61450,11.11293304,39.27990266,1.914209008,-1.101569653,0.012101049,10.79070012,38.91777503,1.951197386,-1.223756671,0.005964535,10.33864958,38.46051285,1.955135703,-1.298787236,0.002135086
1-614567,9000-1901,1-614567,10.11725245,41.74893069,1.131068707,4.389527798,6.701019893,9.719655366,41.38696631,1.074699283,5.077462673,2.930988902,9.398238068,41.02944437,1.063977599,5.2501688,1.293882008
1-61484,10837-9101,1-61484,11.13707868,39.86611328,1.895331144,-0.548331082,0.059288359,10.86851161,39.56069187,1.929367661,-0.973392606,0.028288516,10.41110144,39.14698907,1.940142512,-1.052255511,0.011711944
1-614850,8338-12701,1-614850,9.907669133,41.39046599,1.302978277,6.422839165,3.051225771,9.52075193,40.55900278,1.326322675,6.148313046,0.650326881,9.17861966,40.01107145,1.319048166,6.403142452,0.243940501
1-614907,8992-1901,1-614907,10.96339311,39.16958617,1.995914578,-1.742897987,0.000973944,10.61974279,38.86933313,2.006621122,-1.879417181,0.000485609,10.20408026,38.45383524,2.010069847,-1.950935245,0.000220838
1-61513,12495-9101,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1-615167,8945-12702,1-615167,10.33641668,40.07291817,1.30202651,5.501457214,0.518262995,9.998257745,39.50888903,1.330215812,4.707910061,0.216458035,9.707328491,39.08421997,1.354214668,4.347786427,0.090011885
1-61538,10837-6101,1-61538,11.26224903,38.66235477,1.86588335,-0.528771758,0.0045415,10.95734084,38.49196911,1.898318887,-0.649061084,0.002783611,10.66339353,38.23357903,1.910375237,-0.615240216,0.001552023
1-615485,8990-3701,1-615485,10.70370376,39.19322636,1.880994797,-1.304229736,0.007046216,10.42161085,38.93107491,1.928535223,-1.601141095,0.004574838,10.10905696,38.62548096,1.951683283,-1.622440815,0.002698609
